Title,All_Words
Psycho,anthonyperkins veramiles johngavin alfredhitchcock horror  mystery  thriller P s y c h o phoenix secretary embezzles client checks employer 40 young man run remote motel domination mother goes 000 a n t h o n y p e r k i n s   v e r a m i l e s   j o h n g a v i n   a l f r e d h i t c h c o c k   h o r r o r     m y s t e r y     t h r i l l e r   P   s   y   c   h   o   p h o e n i x   s e c r e t a r y   e m b e z z l e s   c l i e n t   c h e c k s   e m p l o y e r   4 0   y o u n g   m a n   r u n   r e m o t e   m o t e l   d o m i n a t i o n   m o t h e r   g o e s   0 0 0   
Raiders of the Lost Ark,harrisonford karenallen paulfreeman stevenspielberg action  adventure R a i d e r s   o f   t h e   L o s t   A r k adventurer indiana jones find nazis hired u covenant government archaeologist ark h a r r i s o n f o r d   k a r e n a l l e n   p a u l f r e e m a n   s t e v e n s p i e l b e r g   a c t i o n     a d v e n t u r e   R   a   i   d   e   r   s       o   f       t   h   e       L   o   s   t       A   r   k   a d v e n t u r e r   i n d i a n a   j o n e s   f i n d   n a z i s   h i r e d   u   c o v e n a n t   g o v e r n m e n t   a r c h a e o l o g i s t   a r k   
The Pianist,adrienbrody emiliafox michalzebrowski romanpolanski biography  drama  music T h e   P i a n i s t survive warsaw ghetto destruction world war ii polish jewish musician struggles a d r i e n b r o d y   e m i l i a f o x   m i c h a l z e b r o w s k i   r o m a n p o l a n s k i   b i o g r a p h y     d r a m a     m u s i c   T   h   e       P   i   a   n   i   s   t   s u r v i v e   w a r s a w   g h e t t o   d e s t r u c t i o n   w o r l d   w a r   i i   p o l i s h   j e w i s h   m u s i c i a n   s t r u g g l e s   
Rear Window,jamesstewart gracekelly wendellcorey alfredhitchcock mystery  thriller R e a r   W i n d o w becomes convinced one apartment window bound photographer spies committed murder neighbours wheelchair j a m e s s t e w a r t   g r a c e k e l l y   w e n d e l l c o r e y   a l f r e d h i t c h c o c k   m y s t e r y     t h r i l l e r   R   e   a   r       W   i   n   d   o   w   b e c o m e s   c o n v i n c e d   o n e   a p a r t m e n t   w i n d o w   b o u n d   p h o t o g r a p h e r   s p i e s   c o m m i t t e d   m u r d e r   n e i g h b o u r s   w h e e l c h a i r   
The Departed,leonardodicaprio mattdamon jacknicholson martinscorsese crime  drama  thriller T h e   D e p a r t e d undercover cop identify irish gang mole police attempt infiltrating south boston l e o n a r d o d i c a p r i o   m a t t d a m o n   j a c k n i c h o l s o n   m a r t i n s c o r s e s e   c r i m e     d r a m a     t h r i l l e r   T   h   e       D   e   p   a   r   t   e   d   u n d e r c o v e r   c o p   i d e n t i f y   i r i s h   g a n g   m o l e   p o l i c e   a t t e m p t   i n f i l t r a t i n g   s o u t h   b o s t o n   
Whiplash,milesteller j.k.simmons paulreiser damienchazelle drama  music W h i p l a s h student mentored promising young drummer enrolls cut greatness potential stop nothing dreams throat music conservatory realize instructor m i l e s t e l l e r   j . k . s i m m o n s   p a u l r e i s e r   d a m i e n c h a z e l l e   d r a m a     m u s i c   W   h   i   p   l   a   s   h   s t u d e n t   m e n t o r e d   p r o m i s i n g   y o u n g   d r u m m e r   e n r o l l s   c u t   g r e a t n e s s   p o t e n t i a l   s t o p   n o t h i n g   d r e a m s   t h r o a t   m u s i c   c o n s e r v a t o r y   r e a l i z e   i n s t r u c t o r   
Terminator 2: Judgment Day,arnoldschwarzenegger lindahamilton edwardfurlong jamescameron action  sci-fi  thriller T e r m i n a t o r   2 :   J u d g m e n t   D a y failed identical one protect ten year old son advanced cyborg must kill sarah connor john a r n o l d s c h w a r z e n e g g e r   l i n d a h a m i l t o n   e d w a r d f u r l o n g   j a m e s c a m e r o n   a c t i o n     s c i - f i     t h r i l l e r   T   e   r   m   i   n   a   t   o   r       2   :       J   u   d   g   m   e   n   t       D   a   y   f a i l e d   i d e n t i c a l   o n e   p r o t e c t   t e n   y e a r   o l d   s o n   a d v a n c e d   c y b o r g   m u s t   k i l l   s a r a h   c o n n o r   j o h n   
Back to the Future,michaelj.fox christopherlloyd leathompson robertzemeckis adventure  comedy  sci-fi B a c k   t o   t h e   F u t u r e year accidentally sent 30 years close friend maverick scientist doc brown marty mcfly traveling delorean invented past old high school student time 17 m i c h a e l j . f o x   c h r i s t o p h e r l l o y d   l e a t h o m p s o n   r o b e r t z e m e c k i s   a d v e n t u r e     c o m e d y     s c i - f i   B   a   c   k       t   o       t   h   e       F   u   t   u   r   e   y e a r   a c c i d e n t a l l y   s e n t   3 0   y e a r s   c l o s e   f r i e n d   m a v e r i c k   s c i e n t i s t   d o c   b r o w n   m a r t y   m c f l y   t r a v e l i n g   d e l o r e a n   i n v e n t e d   p a s t   o l d   h i g h   s c h o o l   s t u d e n t   t i m e   1 7   
Gladiator,russellcrowe joaquinphoenix connienielsen ridleyscott action  adventure  drama G l a d i a t o r family murdered roman general rome emperor comes gladiator seek revenge betrayed corrupt son r u s s e l l c r o w e   j o a q u i n p h o e n i x   c o n n i e n i e l s e n   r i d l e y s c o t t   a c t i o n     a d v e n t u r e     d r a m a   G   l   a   d   i   a   t   o   r   f a m i l y   m u r d e r e d   r o m a n   g e n e r a l   r o m e   e m p e r o r   c o m e s   g l a d i a t o r   s e e k   r e v e n g e   b e t r a y e d   c o r r u p t   s o n   
The Lion King,"rowanatkinson matthewbroderick niketacalame rogerallers,robminkoff animation  adventure  drama T h e   L i o n   K i n g identity eagerness lion cub penchant trouble testing please others boundaries sometimes gets future king simba searches r o w a n a t k i n s o n   m a t t h e w b r o d e r i c k   n i k e t a c a l a m e   r o g e r a l l e r s , r o b m i n k o f f   a n i m a t i o n     a d v e n t u r e     d r a m a   T   h   e       L   i   o   n       K   i   n   g   i d e n t i t y   e a g e r n e s s   l i o n   c u b   p e n c h a n t   t r o u b l e   t e s t i n g   p l e a s e   o t h e r s   b o u n d a r i e s   s o m e t i m e s   g e t s   f u t u r e   k i n g   s i m b a   s e a r c h e s   "
